Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvsourcebus, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0493, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvsubxfmr_lsb, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0371, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pv05410, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0371, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn284067, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0428, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn284069, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0428, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn292548, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0436, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn292535, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0436, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn284033_lo, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0491, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn284031, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0491, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn284158, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0448, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn284141, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0448, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn1381582, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.054, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn1413717, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.054, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn284453, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0544, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn284454, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0544, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn292280, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0417, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn292283, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0417, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn284404, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0544, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn284426, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0544, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn292979, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0544, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn284382, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0543, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn284387, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0543, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn284397, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0542, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn284394, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0542, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn284433, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0542, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn284414, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0542, VPRIORPU=0
Hour=0, Sec=0, ControlIter=1, Element=InvControl.invpvctrl pvn284367, Action=**READY TO CHANGE VAR OUTPUT DUE TO VOLT-VAR TRIGGER IN VOLT-VAR MODE**, VAVGPU= 1.0543, VPRIORPU=0
