
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus                          Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

sourcebus                       139.4      1.049   0.005007   0.003593 9.07E-009 6.509E-009
subxfmr_lsb                     20.66      1.037    0.01466    0.07096  0.007571   0.03665
05410                           20.66      1.037    0.01466    0.07096  0.007571   0.03665
n284067                         20.29      1.018          0          0         0         0
n284069                         20.29      1.018          0          0         0         0
n292548                          20.4      1.024    0.08097     0.3969   0.05627    0.2759
n292535                          20.4      1.024      0.081     0.3971   0.05633    0.2762
n284033_lo                      7.727      1.014          0          0         0         0
n284031                         7.727      1.014          0          0         0         0
n284158                         20.37      1.023      0.076      0.373   0.03864    0.1896
n284141                         20.37      1.023    0.07605     0.3733   0.03831     0.188
n1381582                        20.07      1.008          0          0         0         0
n1413717                        20.07      1.008          0          0         0         0
n284453                         20.06      1.007          0          0         0         0
n284454                         20.06      1.007          0          0         0         0
n292280                         20.46      1.027    0.05397     0.2638   0.03633    0.1776
n292283                         20.46      1.027    0.05397     0.2638   0.03633    0.1776
n284404                         20.06      1.007          0          0         0         0
n284426                         20.06      1.007          0          0         0         0
n292979                         20.06      1.007          0          0         0         0
n284382                         20.06      1.007          0          0         0         0
n284387                         20.06      1.007          0          0         0         0
n284397                         20.04      1.006          0          0         0         0
n284394                         20.04      1.006          0          0         0         0
n284433                         20.04      1.006          0          0         0         0
n284414                         20.04      1.006          0          0         0         0
n284367                         20.05      1.007          0          0         0         0
n284372                         20.04      1.006          0          0         0         0
n284383                         20.04      1.006          0          0         0         0
n312486                         7.752      1.017          0          0         0         0
n312424                         7.753      1.017          0          0         0         0
n312492                          7.62     0.9999          0          0         0         0
n312536                         7.624          1          0          0         0         0
n300533                          7.77       1.02          0          0         0         0
n312395                          7.77       1.02          0          0         0         0
n300557                         7.781      1.021          0          0         0         0
n300550                         7.782      1.021          0          0         0         0
n300576                         7.778      1.021          0          0         0         0
n300591                         7.776       1.02          0          0         0         0
n312512                         7.774       1.02          0          0         0         0
n300612                         7.611     0.9987          0          0         0         0
n300587                         7.609     0.9984          0          0         0         0
n300566                         7.608     0.9982          0          0         0         0
n300555                         7.607     0.9982          0          0         0         0
n300570                         7.685      1.008          0          0         0         0
n300593                         7.682      1.008          0          0         0         0
n300609                          7.68      1.008          0          0         0         0
n300614                          7.68      1.008          0          0         0         0
n300468                          7.75      1.017          0          0         0         0
n300452                         7.749      1.017          0          0         0         0
n312429                         20.39      1.024    0.08653     0.4244   0.06475    0.3176
n312419                         20.39      1.024    0.08653     0.4244   0.06475    0.3176
n312351                         20.39      1.024    0.08653     0.4244   0.06475    0.3176
n300674                         20.27      1.018          0          0         0         0
n300664                         20.27      1.018          0          0         0         0
n300676                         20.27      1.018          0          0         0         0
n300654                         20.27      1.018          0          0         0         0
n300656                         20.27      1.018          0          0         0         0
n300717                         20.47      1.027          0          0         0         0
n300714                         20.47      1.028          0          0         0         0
n300719                         20.46      1.027          0          0         0         0
n300742                         20.46      1.027          0          0         0         0
n300740                         20.46      1.027          0          0         0         0
n300736                         20.46      1.027          0          0         0         0
n300750                         20.46      1.027          0          0         0         0
n300762                         20.46      1.027          0          0         0         0
n300764                         20.46      1.027          0          0         0         0
n300678                         7.674      1.007          0          0         0         0
n300646                         7.677      1.007          0          0         0         0
n300728                         7.674      1.007          0          0         0         0
n312566                         7.672      1.007          0          0         0         0
n312588                         7.671      1.007          0          0         0         0
n312602                         7.669      1.006          0          0         0         0
n312606                         7.669      1.006          0          0         0         0
n312610                         7.669      1.006          0          0         0         0
n312595                         7.669      1.006          0          0         0         0
n312599                         7.669      1.006          0          0         0         0
